part_number	name	warranty	instock	priceOpt
MTA8ATF51264AZ-2G1B1	4Gb DDR4-2133 1Rx8 Micron MTA8ATF51264AZ-2G1B1 - 450грн, есть 3шт	36	300	225
M378A5143DB0-CPB	4Gb DDR4-2133 1Rx8 Samsung M378A5143DB0-CPB - 450грн	36	100	225
M378A5143EB1-CPB	4Gb DDR4-2133 1Rx8 Samsung M378A5143EB1-CPB - 450грн, есть 6шт	36	600	225
MT18JSF1G72AZ-1G9P1	2x8Gb DDR3-1866 2Rx8 Micron MT18JSF1G72AZ-1G9P1 ZF ECC Unbuffered - 1900грн	36	100	950
MT16KTF1G64AZ-1G9P1	8Gb DDR3L-1866 2Rx8 Micron MT16KTF1G64AZ-1G9P1 - 900грн	36	100	450
BLS8G3D1609ES2LX0	2х8Gb DDR3L-1600 2Rx8 Crucial Ballistix Sport BLS8G3D1609ES2LX0.16FER радиаторная низкая - 1800грн	36	100	900
CT102464BD160B	8Gb DDR3L-1600 2Rx8 Crucial CT102464BD160B M16FN новые - 850грн, есть 6шт	36	600	425
CT102464BD160B	8Gb DDR3L-1600 2Rx8 Crucial CT102464BD160B C16FPD - 850грн	36	100	425
HMT41GU6AFR8A-PB	8Gb DDR3L-1600 2Rx8 Hynix HMT41GU6AFR8A-PB - 850грн, есть 17шт	36	900	425
HMT41GU6BFR8A-PB	8Gb DDR3L-1600 2Rx8 Hynix HMT41GU6BFR8A-PB - 850грн, есть 17шт	36	900	425
HMT41GU6DFR8A-PB	8Gb DDR3L-1600 2Rx8 Hynix HMT41GU6DFR8A-PB - 850грн, есть 4шт	36	400	425
ACR16D3LU1KNG/8G	8Gb DDR3L-1600 2Rx8 Kingston ACR16D3LU1KNG/8G - 850грн, есть 2шт	36	200	425
HP698651-154	8Gb DDR3L-1600 2Rx8 Kingston HP698651-154-MCN - 850грн, есть 10шт	36	900	425
KCP3L16ND8/8	8Gb DDR3L-1600 2Rx8 Kingston KCP3L16ND8/8 - 850грн, есть 2шт	36	200	425
KVR648-PSB	8Gb DDR3L-1600 2Rx8 Kingston KVR648-PSB - 850грн, есть 2шт	36	200	425
MT16KTF1G64AZ-1G6E1	8Gb DDR3L-1600 2Rx8 Micron MT16KTF1G64AZ-1G6E1 - 850грн, есть 3шт	36	300	425
MT16KTF1G64AZ-1G6P1	8Gb DDR3L-1600 2Rx8 Micron MT16KTF1G64AZ-1G6P1 - 850грн, есть 4шт	36	400	425
RMR5040ME68FAF-1600	8Gb DDR3L-1600 2Rx8 Ramaxel RMR5040ME68FAF-1600 - 850грн	36	100	425
75TT16NUL2R8-8G	8Gb DDR3L-1600 2Rx8 Timetec 75TT16NUL2R8-8G - 800грн	36	100	400
HX318C10FBK2/16	2х8Gb DDR3-1866 2Rx8 Kingston HyperX FURY HX318C10FBK2/16 радиаторная - 1900грн, есть 2 пары	36	200	950
CML16GX3M2A1600C10	2x8Gb DDR3-1600 2Rx8 Corsair CML16GX3M2A1600C10 черный радиатор - 1800грн	36	100	900
1600C10D-16GAO	2х8Gb DDR3-1600 2Rx8 G.Skill F3-1600C10D-16GAO радиаторная - 1800грн	36	100	900
